10101,The Eclipse Community,What is Eclipse?,http://wiki.eclipse.org/FAQ_What_is_Eclipse%3F,FAQ What is Eclipse?
10102,,What is the Eclipse Platform?,http://wiki.eclipse.org/FAQ_What_is_the_Eclipse_Platform%3F,FAQ What is the Eclipse Platform?
10103,,Where did Eclipse come from?,http://wiki.eclipse.org/FAQ_Where_did_Eclipse_come_from%3F,FAQ Where did Eclipse come from?
10104,,What is the Eclipse Foundation?,http://wiki.eclipse.org/FAQ_What_is_the_Eclipse_Foundation%3F,FAQ What is the Eclipse Foundation?
10105,,How can my users tell where Eclipse ends and a product starts?,http://wiki.eclipse.org/FAQ_How_can_my_users_tell_where_Eclipse_ends_and_a_product_starts%3F,FAQ How can my users tell where Eclipse ends and a product starts?
10106,,What are Eclipse projects and technologies?,http://wiki.eclipse.org/FAQ_What_are_Eclipse_projects_and_technologies%3F,FAQ What are Eclipse projects and technologies?
10107,,How do I propose my own project?,http://wiki.eclipse.org/FAQ_How_do_I_propose_my_own_project%3F,FAQ How do I propose my own project?
10108,,Who is building commercial products based on Eclipse?,http://wiki.eclipse.org/FAQ_Who_is_building_commercial_products_based_on_Eclipse%3F,FAQ Who is building commercial products based on Eclipse?
10109,,What open source projects are based on Eclipse?,http://wiki.eclipse.org/FAQ_What_open_source_projects_are_based_on_Eclipse%3F,FAQ What open source projects are based on Eclipse?
10110,,What academic research projects are based on Eclipse?,http://wiki.eclipse.org/FAQ_What_academic_research_projects_are_based_on_Eclipse%3F,FAQ What academic research projects are based on Eclipse?
10111,,Who uses Eclipse in the classroom?,http://wiki.eclipse.org/FAQ_Who_uses_Eclipse_in_the_classroom%3F,FAQ Who uses Eclipse in the classroom?
10112,,What is an Eclipse Innovation Grant?,http://wiki.eclipse.org/FAQ_What_is_an_Eclipse_Innovation_Grant%3F,FAQ What is an Eclipse Innovation Grant?
10113,,What Eclipse newsgroups are available?,http://wiki.eclipse.org/FAQ_What_Eclipse_newsgroups_are_available%3F,FAQ What Eclipse newsgroups are available?
10114,,How do I get access to Eclipse newsgroups?,http://wiki.eclipse.org/FAQ_How_do_I_get_access_to_Eclipse_newsgroups%3F,FAQ How do I get access to Eclipse newsgroups?
10115,,What Eclipse mailing lists are available?,http://wiki.eclipse.org/FAQ_What_Eclipse_mailing_lists_are_available%3F,FAQ What Eclipse mailing lists are available?
10116,,What articles on Eclipse have been written?,http://wiki.eclipse.org/FAQ_What_articles_on_Eclipse_have_been_written%3F,FAQ What articles on Eclipse have been written?
10117,,What books have been written on Eclipse?,http://wiki.eclipse.org/FAQ_What_books_have_been_written_on_Eclipse%3F,FAQ What books have been written on Eclipse?
10118,,How do I report a bug in Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_report_a_bug_in_Eclipse%3F,FAQ How do I report a bug in Eclipse?
10119,,How can I search the existing list of bugs in Eclipse?,http://wiki.eclipse.org/FAQ_How_can_I_search_the_existing_list_of_bugs_in_Eclipse%3F,FAQ How can I search the existing list of bugs in Eclipse?
10120,,What do I do if my feature request is ignored?,http://wiki.eclipse.org/FAQ_What_do_I_do_if_my_feature_request_is_ignored%3F,FAQ What do I do if my feature request is ignored?
10121,,"Can I get my documentation in PDF form, please?","http://wiki.eclipse.org/FAQ_Can_I_get_my_documentation_in_PDF_form,_please%3F","FAQ Can I get my documentation in PDF form, please?"
10122,,Where do I find documentation for a given extension point?,http://wiki.eclipse.org/FAQ_Where_do_I_find_documentation_for_a_given_extension_point%3F,FAQ Where do I find documentation for a given extension point?
10123,,How is Eclipse licensed,http://wiki.eclipse.org/FAQ_How_is_Eclipse_licensed%3F,FAQ How is Eclipse licensed?
10201,Getting Started,Where do I get and install Eclipse?,http://wiki.eclipse.org/FAQ_Where_do_I_get_and_install_Eclipse%3F,FAQ Where do I get and install Eclipse?
10202,,How do I run Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_run_Eclipse%3F,FAQ How do I run Eclipse?
10203,,How do I increase the heap size available to Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_increase_the_heap_size_available_to_Eclipse%3F,FAQ How do I increase the heap size available to Eclipse?
10204,,Where can I find that elusive .log file?,http://wiki.eclipse.org/FAQ_Where_can_I_find_that_elusive_.log_file%3F,FAQ Where can I find that elusive .log file?
10205,,Does Eclipse run on any Linux distribution?,http://wiki.eclipse.org/FAQ_Does_Eclipse_run_on_any_Linux_distribution%3F,FAQ Does Eclipse run on any Linux distribution?
10206,,"I unzipped Eclipse, but it won't start. Why?","http://wiki.eclipse.org/FAQ_I_unzipped_Eclipse,_but_it_won%27t_start._Why%3F","FAQ I unzipped Eclipse, but it won't start. Why?"
10207,,How do I upgrade Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_upgrade_Eclipse%3F,FAQ How do I upgrade Eclipse?
10208,,How do I install new plug-ins?,http://wiki.eclipse.org/FAQ_How_do_I_install_new_plug-ins%3F,FAQ How do I install new plug-ins?
10209,,Can I install plug-ins outside the main install directory?,http://wiki.eclipse.org/FAQ_Can_I_install_plug-ins_outside_the_main_install_directory%3F,FAQ Can I install plug-ins outside the main install directory?
10210,,How do I remove a plug-in?,http://wiki.eclipse.org/FAQ_How_do_I_remove_a_plug-in%3F,FAQ How do I remove a plug-in?
10211,,How do I find out what plug-ins have been installed?,http://wiki.eclipse.org/FAQ_How_do_I_find_out_what_plug-ins_have_been_installed%3F,FAQ How do I find out what plug-ins have been installed?
10212,,Where do I get help?,http://wiki.eclipse.org/FAQ_Where_do_I_get_help%3F,FAQ Where do I get help?
10213,,How do I report a bug?,http://wiki.eclipse.org/FAQ_How_do_I_report_a_bug%3F,FAQ How do I report a bug?
10214,,How do I accommodate project layouts that don't fit the Eclipse model?,http://wiki.eclipse.org/FAQ_How_do_I_accommodate_project_layouts_that_don%27t_fit_the_Eclipse_model%3F,FAQ How do I accommodate project layouts that don't fit the Eclipse model?
10215,,What is new in Eclipse 3.0?,http://wiki.eclipse.org/FAQ_What_is_new_in_Eclipse_3.0%3F,FAQ What is new in Eclipse 3.0?
10216,,Is Eclipse 3.0 going to break all of my old plug-ins?,http://wiki.eclipse.org/FAQ_Is_Eclipse_3.0_going_to_break_all_of_my_old_plug-ins%3F,FAQ Is Eclipse 3.0 going to break all of my old plug-ins?
10217,,How do I prevent my plug-in from being broken when I update Eclipse,http://wiki.eclipse.org/FAQ_How_do_I_prevent_my_plug-in_from_being_broken_when_I_update_Eclipse%3F,FAQ How do I prevent my plug-in from being broken when I update Eclipse?
10301,Java Development in Eclipse,How do I get started if I am new to Java and Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_get_started_if_I_am_new_to_Java_and_Eclipse%3F,FAQ How do I get started if I am new to Java and Eclipse?
10302,,How do I show/hide files like classpath in the Navigator?,http://wiki.eclipse.org/FAQ_How_do_I_show/hide_files_like_classpath_in_the_Navigator%3F,FAQ How do I show/hide files like classpath in the Navigator?
10303,,How do I link the Navigator with the currently active editor?,http://wiki.eclipse.org/FAQ_How_do_I_link_the_Navigator_with_the_currently_active_editor%3F,FAQ How do I link the Navigator with the currently active editor?
10304,,How do I use the keyboard to traverse between editors?,http://wiki.eclipse.org/FAQ_How_do_I_use_the_keyboard_to_traverse_between_editors%3F,FAQ How do I use the keyboard to traverse between editors?
10305,,How can I rearrange Eclipse views and editors?,http://wiki.eclipse.org/FAQ_How_can_I_rearrange_Eclipse_views_and_editors%3F,FAQ How can I rearrange Eclipse views and editors?
10306,,Why doesn't my program start when I click the Run button?,http://wiki.eclipse.org/FAQ_Why_doesn%27t_my_program_start_when_I_click_the_Run_button%3F,FAQ Why doesn't my program start when I click the Run button?
10307,,How do I turn off autobuilding of Java code?,http://wiki.eclipse.org/FAQ_How_do_I_turn_off_autobuilding_of_Java_code%3F,FAQ How do I turn off autobuilding of Java code?
10308,,How do I hide referenced libraries in the Package Explorer?,http://wiki.eclipse.org/FAQ_How_do_I_hide_referenced_libraries_in_the_Package_Explorer%3F,FAQ How do I hide referenced libraries in the Package Explorer?
10309,,Where do my class files disappear to?,http://wiki.eclipse.org/FAQ_Where_do_my_class_files_disappear_to%3F,FAQ Where do my class files disappear to?
10310,,What editor keyboard shortcuts are available?,http://wiki.eclipse.org/FAQ_What_editor_keyboard_shortcuts_are_available%3F,FAQ What editor keyboard shortcuts are available?
10311,,How do I stop the Java editor from showing a single method at once?,http://wiki.eclipse.org/FAQ_How_do_I_stop_the_Java_editor_from_showing_a_single_method_at_once%3F,FAQ How do I stop the Java editor from showing a single method at once?
10312,,How do I open a type in a Java editor?,http://wiki.eclipse.org/FAQ_How_do_I_open_a_type_in_a_Java_editor%3F,FAQ How do I open a type in a Java editor?
10313,,How do I control the Java formatter?,http://wiki.eclipse.org/FAQ_How_do_I_control_the_Java_formatter%3F,FAQ How do I control the Java formatter?
10314,,How do I choose my own compiler?,http://wiki.eclipse.org/FAQ_How_do_I_choose_my_own_compiler%3F,FAQ How do I choose my own compiler?
10315,,What Java refactoring support is available?,http://wiki.eclipse.org/FAQ_What_Java_refactoring_support_is_available%3F,FAQ What Java refactoring support is available?
10316,,How can Content Assist make me the fastest coder ever?,http://wiki.eclipse.org/FAQ_How_can_Content_Assist_make_me_the_fastest_coder_ever%3F,FAQ How can Content Assist make me the fastest coder ever?
10317,,How can templates make me the fastest coder ever?,http://wiki.eclipse.org/FAQ_How_can_templates_make_me_the_fastest_coder_ever%3F,FAQ How can templates make me the fastest coder ever?
10318,,What is a Quick Fix?,http://wiki.eclipse.org/FAQ_What_is_a_Quick_Fix%3F,FAQ What is a Quick Fix?
10319,,How do I profile my Java program?,http://wiki.eclipse.org/FAQ_How_do_I_profile_my_Java_program%3F,FAQ How do I profile my Java program?
10320,,How do I debug my Java program?,http://wiki.eclipse.org/FAQ_How_do_I_debug_my_Java_program%3F,FAQ How do I debug my Java program?
10321,,How do I find out the command-line arguments of a launched program?,http://wiki.eclipse.org/FAQ_How_do_I_find_out_the_command-line_arguments_of_a_launched_program%3F,FAQ How do I find out the command-line arguments of a launched program?
10322,,What is hot code replace?,http://wiki.eclipse.org/FAQ_What_is_hot_code_replace%3F,FAQ What is hot code replace?
10323,,How do I set a conditional breakpoint?,http://wiki.eclipse.org/FAQ_How_do_I_set_a_conditional_breakpoint%3F,FAQ How do I set a conditional breakpoint?
10324,,How do I find all Java methods that return a String?,http://wiki.eclipse.org/FAQ_How_do_I_find_all_Java_methods_that_return_a_String%3F,FAQ How do I find all Java methods that return a String?
10325,,What can I view in the Hierarchy view?,http://wiki.eclipse.org/FAQ_What_can_I_view_in_the_Hierarchy_view%3F,FAQ What can I view in the Hierarchy view?
10326,,How do I add an extra library to my project's classpath?,http://wiki.eclipse.org/FAQ_How_do_I_add_an_extra_library_to_my_project%27s_classpath%3F,FAQ How do I add an extra library to my project's classpath?
10327,,What is the advantage of sharing the project file in a repository?,http://wiki.eclipse.org/FAQ_What_is_the_advantage_of_sharing_the_project_file_in_a_repository%3F,FAQ What is the advantage of sharing the project file in a repository?
10328,,What is the function of the .cvsignore file?,http://wiki.eclipse.org/FAQ_What_is_the_function_of_the_.cvsignore_file%3F,FAQ What is the function of the .cvsignore file?
10329,,How do I set up a Java project to share in a repository?,http://wiki.eclipse.org/FAQ_How_do_I_set_up_a_Java_project_to_share_in_a_repository%3F,FAQ How do I set up a Java project to share in a repository?
10330,,Why does the Eclipse compiler create a different serialVersionUID from javac,http://wiki.eclipse.org/FAQ_Why_does_the_Eclipse_compiler_create_a_different_serialVersionUID_from_javac%3F,FAQ Why does the Eclipse compiler create a different serialVersionUID from javac?
10401,Plug-In Development Environment,How do I create a plug-in?,http://wiki.eclipse.org/FAQ_How_do_I_create_a_plug-in%3F,FAQ How do I create a plug-in?
10402,,How do I use the plug-in Manifest Editor?,http://wiki.eclipse.org/FAQ_How_do_I_use_the_plug-in_Manifest_Editor%3F,FAQ How do I use the plug-in Manifest Editor?
10403,,Why doesn't my plug-in build correctly?,http://wiki.eclipse.org/FAQ_Why_doesn%27t_my_plug-in_build_correctly%3F,FAQ Why doesn't my plug-in build correctly?
10404,,How do I run my plug-in in another instance of Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_run_my_plug-in_in_another_instance_of_Eclipse%3F,FAQ How do I run my plug-in in another instance of Eclipse?
10405,,What causes my plug-in to build but not to load in a runtime workbench?,http://wiki.eclipse.org/FAQ_What_causes_my_plug-in_to_build_but_not_to_load_in_a_runtime_workbench%3F,FAQ What causes my plug-in to build but not to load in a runtime workbench?
10406,,"My runtime workbench runs, but my plug-in does not show. Why?","http://wiki.eclipse.org/FAQ_My_runtime_workbench_runs,_but_my_plug-in_does_not_show._Why%3F","FAQ My runtime workbench runs, but my plug-in does not show. Why?"
10407,,How do I add images and other resources to a runtime JAR file?,http://wiki.eclipse.org/FAQ_How_do_I_add_images_and_other_resources_to_a_runtime_JAR_file%3F,FAQ How do I add images and other resources to a runtime JAR file?
10408,,Can I add icons declared by my plugin.xml in the runtime JAR?,http://wiki.eclipse.org/FAQ_Can_I_add_icons_declared_by_my_plugin.xml_in_the_runtime_JAR%3F,FAQ Can I add icons declared by my plugin.xml in the runtime JAR?
10409,,When does PDE change a plug-in's Java build path?,http://wiki.eclipse.org/FAQ_When_does_PDE_change_a_plug-in%27s_Java_build_path%3F,FAQ When does PDE change a plug-in's Java build path?
10410,,What is a PDE JUnit test?,http://wiki.eclipse.org/FAQ_What_is_a_PDE_JUnit_test%3F,FAQ What is a PDE JUnit test?
10411,,Where can I find the Eclipse plug-ins?,http://wiki.eclipse.org/FAQ_Where_can_I_find_the_Eclipse_plug-ins%3F,FAQ Where can I find the Eclipse plug-ins?
10412,,How do I find a particular class from an Eclipse plug-in?,http://wiki.eclipse.org/FAQ_How_do_I_find_a_particular_class_from_an_Eclipse_plug-in%3F,FAQ How do I find a particular class from an Eclipse plug-in?
10413,,Why do I get a 'plug-in was unable to load class' error when I activate a menu or toolbar action?,http://wiki.eclipse.org/FAQ_Why_do_I_get_a_%27plug-in_was_unable_to_load_class%27_error_when_I_activate_a_menu_or_toolbar_action%3F,FAQ Why do I get a 'plug-in was unable to load class' error when I activate a menu or toolbar action?
10414,,What is the use of the build.xml file?,http://wiki.eclipse.org/FAQ_What_is_the_use_of_the_build.xml_file%3F,FAQ What is the use of the build.xml file?
10415,,How do I prevent my build.xml file from being overwritten?,http://wiki.eclipse.org/FAQ_How_do_I_prevent_my_build.xml_file_from_being_overwritten%3F,FAQ How do I prevent my build.xml file from being overwritten?
10416,,When is the build.xml script executed?,http://wiki.eclipse.org/FAQ_When_is_the_build.xml_script_executed%3F,FAQ When is the build.xml script executed?
10417,,How do I declare my own extension point?,http://wiki.eclipse.org/FAQ_How_do_I_declare_my_own_extension_point%3F,FAQ How do I declare my own extension point?
10418,,How do I find all the plug-ins that contribute to my extension point?,http://wiki.eclipse.org/FAQ_How_do_I_find_all_the_plug-ins_that_contribute_to_my_extension_point%3F,FAQ How do I find all the plug-ins that contribute to my extension point?
10419,,Why is the interface for my new extension point not visible?,http://wiki.eclipse.org/FAQ_Why_is_the_interface_for_my_new_extension_point_not_visible%3F,FAQ Why is the interface for my new extension point not visible?
10420,,Can my extension point schema contain nested elements?,http://wiki.eclipse.org/FAQ_Can_my_extension_point_schema_contain_nested_elements%3F,FAQ Can my extension point schema contain nested elements?
10421,,How do I create a feature?,http://wiki.eclipse.org/FAQ_How_do_I_create_a_feature%3F,FAQ How do I create a feature?
10422,,How do I synchronize versions between a feature and its plug-in(s)?,http://wiki.eclipse.org/FAQ_How_do_I_synchronize_versions_between_a_feature_and_its_plug-in(s)%3F,FAQ How do I synchronize versions between a feature and its plug-in(s)?
10423,,What is the Update Manager?,http://wiki.eclipse.org/FAQ_What_is_the_Update_Manager%3F,FAQ What is the Update Manager?
10424,,How do I create an update site (site.xml)?,http://wiki.eclipse.org/FAQ_How_do_I_create_an_update_site_(site.xml)%3F,FAQ How do I create an update site (site.xml)?
10425,,Why does my update site need a license,http://wiki.eclipse.org/FAQ_Why_does_my_update_site_need_a_license%3F,FAQ Why does my update site need a license?
10501,All about Plug-ins,What is a plug-in?,http://wiki.eclipse.org/FAQ_What_is_a_plug-in%3F,FAQ What is a plug-in?
10502,,Do I use plugin or plug-in?,http://wiki.eclipse.org/FAQ_Do_I_use_plugin_or_plug-in%3F,FAQ Do I use plugin or plug-in?
10503,,What is the plug-in manifest file (plugin.xml)?,http://wiki.eclipse.org/FAQ_What_is_the_plug-in_manifest_file_(plugin.xml)%3F,FAQ What is the plug-in manifest file (plugin.xml)?
10504,,How do I make my plug-in connect to other plug-ins?,http://wiki.eclipse.org/FAQ_How_do_I_make_my_plug-in_connect_to_other_plug-ins%3F,FAQ How do I make my plug-in connect to other plug-ins?
10505,,What are extensions and extension points?,http://wiki.eclipse.org/FAQ_What_are_extensions_and_extension_points%3F,FAQ What are extensions and extension points?
10506,,What is an extension point schema?,http://wiki.eclipse.org/FAQ_What_is_an_extension_point_schema%3F,FAQ What is an extension point schema?
10507,,How do I find out more about a certain extension point?,http://wiki.eclipse.org/FAQ_How_do_I_find_out_more_about_a_certain_extension_point%3F,FAQ How do I find out more about a certain extension point?
10508,,When does a plug-in get started?,http://wiki.eclipse.org/FAQ_When_does_a_plug-in_get_started%3F,FAQ When does a plug-in get started?
10509,,Where do plug-ins store their state?,http://wiki.eclipse.org/FAQ_Where_do_plug-ins_store_their_state%3F,FAQ Where do plug-ins store their state?
10510,,How do I find out the install location of a plug-in?,http://wiki.eclipse.org/FAQ_How_do_I_find_out_the_install_location_of_a_plug-in%3F,FAQ How do I find out the install location of a plug-in?
10511,,What is the classpath of a plug-in?,http://wiki.eclipse.org/FAQ_What_is_the_classpath_of_a_plug-in%3F,FAQ What is the classpath of a plug-in?
10512,,How do I add a library to the classpath of a plug-in?,http://wiki.eclipse.org/FAQ_How_do_I_add_a_library_to_the_classpath_of_a_plug-in%3F,FAQ How do I add a library to the classpath of a plug-in?
10513,,How can I share a JAR among various plug-ins?,http://wiki.eclipse.org/FAQ_How_can_I_share_a_JAR_among_various_plug-ins%3F,FAQ How can I share a JAR among various plug-ins?
10514,,How do I use the context class loader in Eclipse?,http://wiki.eclipse.org/FAQ_How_do_I_use_the_context_class_loader_in_Eclipse%3F,FAQ How do I use the context class loader in Eclipse?
10515,,Why doesn't Eclipse play well with Xerces?,http://wiki.eclipse.org/FAQ_Why_doesn%27t_Eclipse_play_well_with_Xerces%3F,FAQ Why doesn't Eclipse play well with Xerces?
10516,,What is a plug-in fragment?,http://wiki.eclipse.org/FAQ_What_is_a_plug-in_fragment%3F,FAQ What is a plug-in fragment?
10517,,Can fragments be used to patch a plug-in?,http://wiki.eclipse.org/FAQ_Can_fragments_be_used_to_patch_a_plug-in%3F,FAQ Can fragments be used to patch a plug-in?
10518,,What is a configuration?,http://wiki.eclipse.org/FAQ_What_is_a_configuration%3F,FAQ What is a configuration?
10519,,How do I find out whether the Eclipse Platform is running?,http://wiki.eclipse.org/FAQ_How_do_I_find_out_whether_the_Eclipse_Platform_is_running%3F,FAQ How do I find out whether the Eclipse Platform is running?
10520,,Where does System.out and System.err output go?,http://wiki.eclipse.org/FAQ_Where_does_System.out_and_System.err_output_go%3F,FAQ Where does System.out and System.err output go?
10521,,How do I locate the owner plug-in from a given class?,http://wiki.eclipse.org/FAQ_How_do_I_locate_the_owner_plug-in_from_a_given_class%3F,FAQ How do I locate the owner plug-in from a given class?
10522,,How does OSGi and the new runtime affect me?,http://wiki.eclipse.org/FAQ_How_does_OSGi_and_the_new_runtime_affect_me%3F,FAQ How does OSGi and the new runtime affect me?
10523,,What is a dynamic plug-in?,http://wiki.eclipse.org/FAQ_What_is_a_dynamic_plug-in%3F,FAQ What is a dynamic plug-in?
10524,,How do I make my plug-in dynamic enabled?,http://wiki.eclipse.org/FAQ_How_do_I_make_my_plug-in_dynamic_enabled%3F,FAQ How do I make my plug-in dynamic enabled?
10525,,How do I make my plug-in dynamic aware?,http://wiki.eclipse.org/FAQ_How_do_I_make_my_plug-in_dynamic_aware%3F,FAQ How do I make my plug-in dynamic aware?
10526,,How do I use progress monitors?,http://wiki.eclipse.org/FAQ_How_do_I_use_progress_monitors%3F,FAQ How do I use progress monitors?
10601,Runtime Facilities,How do I use a SubProgressMonitor?,http://wiki.eclipse.org/FAQ_How_do_I_use_a_SubProgressMonitor%3F,FAQ How do I use a SubProgressMonitor?
10602,,How do I use the platform logging facility?,http://wiki.eclipse.org/FAQ_How_do_I_use_the_platform_logging_facility%3F,FAQ How do I use the platform logging facility?
10603,,How do I use the platform debug tracing facility,http://wiki.eclipse.org/FAQ_How_do_I_use_the_platform_debug_tracing_facility,FAQ How do I use the platform debug tracing facility
10604,,How do I load and save plug-in preferences?,http://wiki.eclipse.org/FAQ_How_do_I_load_and_save_plug-in_preferences%3F,FAQ How do I load and save plug-in preferences?
